,movie,year,timeMin,imdb,metascore,votes,us_grossMillions
0,The Gentlemen,2019,113,7.9,51,125541,
1,Once Upon a Time... in Hollywood,2019,161,7.7,83,457540,142.5
2,Parasite,2019,132,8.6,96,394550,53.37
3,Knives Out,2019,131,7.9,82,292915,165.36
4,Avengers: Endgame,2019,181,8.4,78,710810,858.37
5,1917,2019,119,8.3,78,299780,159.23
6,Joker,2019,122,8.5,59,777613,335.45
7,Little Women,2019,135,7.9,91,100355,108.1
8,The Goonies,1985,114,7.8,62,231356,61.5
9,The Shawshank Redemption,1994,142,9.3,80,2234111,28.34
10,The Godfather,1972,175,9.2,100,1540227,134.97
11,Django Unchained,2012,165,8.4,81,1292018,162.81
12,Jojo Rabbit,2019,108,7.9,58,206936,0.35
13,The Lighthouse,2019,109,7.6,83,99581,0.43
14,Call Me by Your Name,2017,132,7.9,93,189157,18.1
15,Inception,2010,148,8.8,74,1958779,292.58
16,Slumdog Millionaire,2008,120,8.0,84,777139,141.32
17,The Irishman,2019,209,7.9,94,285460,
18,Interstellar,2014,169,8.6,74,1409583,188.02
19,Ford v Ferrari,2019,152,8.1,81,210050,117.62
20,The Departed,2006,151,8.5,85,1139650,132.38
21,Pulp Fiction,1994,154,8.9,94,1751184,107.93
22,Harry Potter and the Sorcerer's Stone,2001,152,7.6,64,609532,317.58
23,Life of Pi,2012,127,7.9,79,562372,124.99
24,The Dark Knight,2008,152,9.0,84,2205547,534.86
25,Avengers: Infinity War,2018,149,8.5,68,770563,678.82
26,The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,92,1593902,315.54
27,Thor: Ragnarok,2017,130,7.9,74,548589,315.06
28,Almost Famous,2000,122,7.9,90,243615,32.53
29,Portrait of a Lady on Fire,2019,122,8.2,95,35278,
30,Blade Runner 2049,2017,164,8.0,81,428070,92.05
31,Guardians of the Galaxy,2014,121,8.0,76,1010232,333.18
32,Inglourious Basterds,2009,153,8.3,69,1205372,120.54
33,Gladiator,2000,155,8.5,67,1285762,187.71
34,The Matrix,1999,136,8.7,73,1603983,171.48
35,Titanic,1997,194,7.8,75,1008023,659.33
36,The Wolf of Wall Street,2013,180,8.2,75,1112960,116.9
37,The Breakfast Club,1985,97,7.9,62,338048,45.88
38,Jurassic Park,1993,127,8.1,68,827722,402.45
39,Fight Club,1999,139,8.8,66,1778766,37.03
40,Se7en,1995,127,8.6,65,1375305,100.13
41,Gone Girl,2014,149,8.1,79,815482,167.77
42,Goodfellas,1990,146,8.7,90,972074,46.84
43,Forrest Gump,1994,142,8.8,82,1722737,330.25
44,Back to the Future,1985,116,8.5,87,998038,210.61
45,The Prestige,2006,130,8.5,66,1132187,53.09
46,The Silence of the Lambs,1991,118,8.6,85,1210276,130.74
47,The Martian,2015,144,8.0,80,727153,228.43
48,The Godfather: Part II,1974,202,9.0,90,1077461,57.3
49,Alien,1979,117,8.4,89,754874,78.9
